id,text,category,confidence,source
d84f99db50f4-4,"The Respondents have averred that they are persons of means and that they do farming and will be in a position to refund the decretal sums in the event of success of appeal. However, the Respondents d...",court,55.89%,model
d84f99db50f4-5,"D.Kemei
Judge
In the presence of
Onyando For Wamalwa Simiyu  For Appellants/Applicants
No appearance  Milimo  for Respondents
Kizito Court Assistant.",court,55.18%,model
c80b259dd67b-0,"REPUBLIC OF KENYA
IN THE EMPLOYMENT AND LABOUR RELATIONS COURT OF KENYA AT MACHAKOS
ELRC CAUSE NO. E001  OF 2021
DAVID INYANI■CLAIMANT 
- VERSUS -
PROMASIDOR KENYA LIMITED■………. RESPONDENT
(Before Hon....",court,53.16%,model
c80b259dd67b-1,"The respondent be ordered to pay the costs of the claim and interest. 
The Memorandum of defence was filed on 15.09.2021 through Ronn Law Advocates LLP. The respondent prayed that the suit be dismisse...",court,51.93%,model
c80b259dd67b-2,"The claimant states that Inyani enterprises, allegedly owned by him is non-existent, and the same can be proved by conducting searches with the companies’ registry. 
On the part of the respondents it ...",court,50.97%,model
c80b259dd67b-3,"The claimant did not request for additional time to prepare his response, but responded through his letter of 27.03.2021. Upon receiving the response the respondent reviewed it and found it unsatisfac...",court,51.36%,model
c80b259dd67b-4,"The 3rd issue is whether the termination was unfair. On procedure, the claimant was suspended by the letter dated 15.03.2021. While testifying that the suspension was imposed without prior warning and...",court,51.25%,model
c80b259dd67b-5,Breach of the respondent’s Code of Business Conduct and terms of employment by causing or abetting aiding and abetting the making of payments to supposed suppliers of the respondent for fictitious sup...,negotiable,50.43%,model
c80b259dd67b-6,The claimant replied the letter to show cause by his letter dated 26.03.2021. He denied making the LPOs; he denied knowing the mentioned suppliers subject of the LPOs allegations and finance director ...,court,50.73%,model
c80b259dd67b-7,"For the reasons for termination the Court returns that the respondent has established that they were valid as per section 43 of the Employment Act and as well, they were fair per section 45 of the Act...",court,52.39%,model
2e32cd142759-0,"IN THE COURT OF APPEAL AT KISUMU
(CORAM: OMONDI, JA, IN CHAMBERS)) CIVIL APPLICATION NO. E093 OF 2023 BETWEEN
RICHARD MAPESA MATULI■APPLICANT
AND
ADAM AMBANI MULANDA■RESPONDENT
(An application for ext...",court,56.16%,model
6de4abbe4720-0,"REPUBLIC OF KENYA
IN THE EMPLOYMENT AND LABOUR RELATIONS COURT OF KENYA AT NAIROBI
MISCELLANEOUS CAUSE NO. E157 OF 2023
OLIVER THANDI MUNYUA ■APPLICANT 
- VERSUS -
ABSA BANK KENYA PLC……………...………RESPON...",court,54.37%,model
6de4abbe4720-1,"Part III of the Limitation of Actions Act Cap 22 does not apply as to permit leave as prayed for to file the petition.
The petitioner has not advanced a good reason for not filing the petition or clai...",court,57.87%,model
6de4abbe4720-2,"The Court has considered all the circumstances including the acquittal in the criminal appeal and returns no orders on costs.
The application is hereby dismissed with no orders on costs.
Signed, dated...",court,56.79%,model
a7daf1a1d32a-0,"REPUBLIC OF KENYA
IN THE HIGH COURT OF KENYA AT NAIROBI
CIVIL APPEAL NO. E278 OF 2021
GLAXO SMITHKLINE PHARMACEUTICAL 
KENYA LIMITED …………...............................1ST APPELLANT
STELLA KIGUJA NG’A...",court,54.47%,model
a7daf1a1d32a-1,"That the learned magistrate erred in fact by failing to scrutinize/evaluate the evidence tendered in this matter and as a result held the appellants wholly liable for the accident
The learned magistra...",court,55.14%,model
a7daf1a1d32a-2,The appellant argued that the respondent did not adduce any eye witness evidence to support his version of events from which he seeks the court to hold that the 2nd appellant is liable for the acciden...,court,55.92%,model
a7daf1a1d32a-3,"This being a first appeal, the duty of the first appellate court is to re-evaluate the evidence adduced before the trial court and to arrive at its own conclusion whether to support the findings of th...",court,56.54%,model
a7daf1a1d32a-4,"In the circumstances, I find that the court was not right on its findings on liability. I have re-evaluated the evidence and find that both were to blame for the accident and the court ought to have a...",court,55.38%,model
a7daf1a1d32a-5,"Since the appeal succeeded partially each party is to bear its own costs. Orders accordingly.
Dated, Signed and Delivered online via Microsoft Teams at Nairobi this 17th day of November, 2023.
     ……...",court,54.38%,model
4ba15e8261a3-0,"REPUBLIC OF KENYA
IN THE EMPLOYMENT AND LABOUR RELATIONS COURT OF KENYA AT NAIROBI
CAUSE NO. 328 OF 2019
STEPHEN MOLLA ■CLAIMANT 
- VERSUS -
KENYA WOMEN AND CHILDREN WELLNESS CENTRE ………………………………………1ST...",court,52.10%,model
4ba15e8261a3-1,"Costs of the suit.
Any other order the Court deems fit.
The respondent filed the statement of response on 06.02.2021 through Archer & Wilcock Advocates. The respondent admitted employing the claimant ...",court,50.79%,model
4ba15e8261a3-2,The Court has considered the material evidence that a meeting was held following the theft and the 1st respondent concluded it had lost confidence in the claimant and terminated per termination clause...,court,53.60%,model
ecdafefeebcb-0,"REPUBLIC OF KENYA
IN THE HIGH COURT OF KENYA AT NAIROBI
CIVIL CASE NO. 136 OF 2018
TATU CITY LIMITED.......................................1ST PLAINTIFF 
KOFINAF COMPANY LIMITED………………….….2ND PLAINTIFF...",court,55.72%,model
ecdafefeebcb-1,"The plaintiffs’ allegations of harassments and malice are mere allegations as they are devoid of concise and specific particulars with respect to the 1st defendant and 2nde defendant.
The plaintiffs a...",court,55.59%,model
ecdafefeebcb-2,He averred that the articles that were complained about were facilitating and procured at the behest and instructions of the 1st defendant. The 1st defendant procured the 4th defendant to cover the st...,court,52.50%,model
ecdafefeebcb-3,The 1st defendant submitted the Plaint has not specifically disclosed how the alleged publications have undermined the reputation of the Plaintiffs in the eyes of the right-thinking members of the soc...,court,55.59%,model
ecdafefeebcb-4,"The plaintiffs submitted the application herein disregards Order 2, Rule 15 of the Civil Procedure Rules, the 1st Defendant's submissions contain material evidence which should not form the substance ...",court,56.07%,model
ecdafefeebcb-5,"The issues for determination in this application are as follows;
Whether this suit discloses a cause of action against the 1st and 2nd defendants.
Whether the plaintiff’s suit is statute time barred.
...",court,56.90%,model
e4e7cccabf2e-0,"REPUBLIC OF KENYA
IN THE EMPLOYMENT AND LABOUR RELATIONS COURT OF KENYA AT NAIROBI
ELRC CAUSE NO. 1106 OF 2018
PITALIS MUSITIKHO ANDUKA■CLAIMANT 
- VERSUS -
ROSOLO BUILDING CO. LIMITED ■………….RESPONDEN...",court,53.91%,model
e4e7cccabf2e-1,"On the part of the respondents it is stated that the claimant was never its employee, but was instead a causal labourer who would be occasionally called upon to work for it whenever need arose. 
The r...",court,52.29%,model
e4e7cccabf2e-2,"A year’s salary compensation for unlawful termination Kshs.382, 554.00.
Gratuity for 16 years 5 months Kshs.210, 404.70.
Injury compensation paid by Monarch Insurance Kshs.859,200.00.
Unpaid NSSF for ...",court,52.23%,model
08b00e2328da-0,"REPUBLIC OF KENYA
IN THE HIGH COURT OF KENYA AT NAIROBI
CIVIL CASE NO. 119 OF 2017
KAMAU THIONGO ………………………………………..… 1ST PLAINTIFF
WEDDY NJERI GITAU……………………………………… 2ND PLAINTIFF
FRESIAH MBUGUA ……………………...",court,57.01%,model
08b00e2328da-1,"THAT such invasion is confrontational and is likely to cause mayhem and public disorder.
THAT unless properly interpreted such action might lead to bloodshed
The application is supported by the affida...",court,55.41%,model
08b00e2328da-2,"Having failed to convene a General Meeting as ordered by the court, the prerogative was bestowed on her to convene the General Meeting in accordance with the law. The Registrar of Societies, having be...",court,56.46%,model
08b00e2328da-3,"“(1) No appeal or second appeal shall operate as a stay of execution or proceedings under a decree or order appealed from except appeal case of in so far as the court appealed from may order but, the ...",court,56.32%,model
08b00e2328da-4,"v.■An order be and is hereby issued requiring the defendants to give a true and just account of the society’s income.
vi.■An order be and is hereby issued compelling the defendants to convene an all-i...",court,55.04%,model
a1e85621f047-0,"REPUBLIC OF KENYA
IN THE HIGH COURT OF KENYA AT NAIROBI
                                  COMMERCIAL & TAX DIVISION
CIVIL CASE NO. 303 OF 2011
HANS JURGEN LANGER…….……………………………..1ST PLAINTIFF 
        ...",court,54.76%,model
a1e85621f047-1,"The defendants called for aid, article 159(2) (a) and (d) of the Constitution and sections 1A (1) and 1B (1) (a) of the Civil Procedure Act that regardless of the technicalities, it is just for the Co...",court,55.69%,model
a1e85621f047-2,"On the hearing date, neither the defendants nor their advocates attended court. The case proceeded to hearing and on 25th July 2019 the court delivered judgment allowing the suit. 
The plaintiff conte...",court,56.81%,model
a1e85621f047-3,The plaintiff cited brahim Mungara Mwangi v Francis Ndegwa Mwangi [2014] eKLR and Water Parnters International v Benjamin K’oyoo T/A Group of Women in Agriculture – Kochieng (Gwako) Ministries (Civil ...,court,54.96%,model
a1e85621f047-4,"In a regular default judgment, the defendant will have been duly served with summons to enter appearance, but for one reason or another, he had failed to enter appearances or to file defence, resultin...",court,56.93%,model
a1e85621f047-5,The basis of approach in Kenya to the exercise of the discretion to be employed or rejected under either Rule 8 or Rule 10 (the latter dealing with judgement by default) is that if service of summons ...,court,57.74%,model
a1e85621f047-6,"The record shows that the defendants had been served with summons, entered appearance and filed a defence. Their advocate was also served with a hearing notice but both the defendants and their advoca...",court,56.61%,model
a1e85621f047-7,"[E]ven where the judgement is regular, the court still retains the wide discretion to set the same aside though if the Court decides to set aside the judgement, depending on the circumstances, it may ...",court,57.30%,model
a1e85621f047-8,I have perused the affidavit of service by Benson Mutinda sworn on 12th June 2019. The process server served a hearing notice on the defendant’s Advocates which was received and stamped. The defendant...,court,57.80%,model
a1e85621f047-9,"Taking into account all the circumstances surrounding this case, I find this application unmeritorious. Consequently, the application is declined and dismissed with costs.
Dated Signed and Delivered a...",court,53.89%,model
929df11d12ee-0,"REPUBLIC OF KENYA
IN THE EMPLOYMENT AND LABOUR RELATIONS COURT OF KENYA AT NAIROBI
CAUSE NO. 1363 OF 2018
KENYA UNION OF COMMERCIAL, FOOD AND ALLIED WORKERS■CLAIMANT 
- VERSUS -
GALOT ESTATE KIAMBU■……...",court,52.21%,model
929df11d12ee-1,"The letter of reinstatement, indicated that the same would serve as a first warning. Subsequently on 05.11.2016, the employee was issued with another termination letter. However, the respondent had mi...",court,52.08%,model
929df11d12ee-2,The 1st issue is whether the grievant William Nyakundi Marori was a member of the claimant trade union. The claimant has pleaded that there is no recognition or collective agreements between the parti...,court,53.43%,model
929df11d12ee-3,"In conclusion the statement of claim and the counterclaim are dismissed with no orders in costs.
Signed, dated and delivered by video-link and in court at Nairobi this Friday 17th November, 2023.
BYRA...",court,56.17%,model
6061f67aa737-0,"REPUBLIC OF KENYA
IN THE HIGH COURT OF KENYA AT BUNGOMA
SUCCESSION CAUSE  NO.3  OF 2019 
IN THE MATTER OF THE ESTATE OF  FRANCIS WEKESA 
JOSEPH WAMALWA WEKESA  ……… .1ST PETITIONER/PROTESTOR
FLORENCE N...",court,54.82%,model
6061f67aa737-1,"The 1st Petitioner herein filed an affidavit of protest  dated 29th day of April, 2021 in which he challenged the  summons for confirmation of grant filed dated  29th January, 2021 filed by the 2nd an...",court,53.37%,model
6061f67aa737-2,in the names of the said Pinka Kitui Namachanja; that from the apparent   search of LR NO. E. BUKUSU/W. SANGALO/487  Titus Nabukhamba  has already moved to exercise his beneficial  rights thereto  by ...,court,53.05%,model
6061f67aa737-3,"Ann Kisaka Otieno – 2.9 acres
Florence Namarome ( to have life interest  in the same ) 
Joseph Wekesa – 4 acres.
Partiies agreed to canvass the protest and the summons for confirmation of grant by way...",court,51.59%,model
6061f67aa737-4,"PROT. W2 John Kasembeli- Wafula adopted his witness statement dated 16/11/2021 as his evidence in chief. On cvross-ecamination, he stated that the deceased was his younger uncle and the last born in t...",court,53.79%,model
6061f67aa737-5,"PROT. W3 George Mateyi Gabriel adopted his witness statement dated 14/1/2022 as his evidence in chief. He introduced himself as the secretary general of Bahengele clan in Kenya. On cross-examination, ...",court,53.01%,model
6061f67aa737-6,"PROT. W4 Joseph Wamalwa Wekesa the protestor herein relied on his affidavit of protest sworn on 29/4/2021 as well as the documents annexed thereto as his evidence in chief. On cross-examination, he st...",court,52.98%,model
6061f67aa737-7,PROT. W6 Moses Nyongesa testified that he is the senior chief of Khalaba location. He sought to rely on minutes taken on 2/4/2019 wherein he was present and participated in in the offices of the Assis...,court,53.56%,model
6061f67aa737-8,PET. W2 Anne Kisaka Otieno the 3rd petitioner herein testified that she is the first born child of the deceased who left behind six children including herself. She stated that she found the 1st petiti...,court,54.07%,model
6061f67aa737-9,"On re-examination, he stated that he was chased by Kasembeli who demolished his house and that hei not able to access the portion allocated to him due to harassment by Kasembeli who has gone ahead to ...",court,54.10%,model
6061f67aa737-10,"On re-examination, she stated that there is  a family dispute as they are ubnable to access the land. That it is the 1st petitioner who is in cahoots with Kasembeli and both of whom demolished her mot...",court,53.26%,model
6061f67aa737-11,"On cross-examination, he stated that he was born in 1977 and joined Kibabii Catholic Seminary in 1995 as an employee. That in 2012 the deceased organized a ceremony where he received him as hs son and...",court,51.86%,model
6061f67aa737-12,"Parties filed and exchanged written submissions. 
Mr Murunga, learned counsel for the 1st petitioner/protestor raised two issues for determination namely whether Samuel Wanjala Wekesa, Violet Nanjala ...",court,55.80%,model
6061f67aa737-13,"Analysis and Determination 
I have given due consideration  to the rival evidence of the 1st petitioner/protestor and the 2nd, 3rd petitioners as well as the submissions of their respective learned co...",court,54.94%,model
6061f67aa737-14,"It transpired from the evidence that the 2nd petitioner at the time of her marriage to the deceased she came along with three children namely Samuel Wanjala, Titus Nabukhamba and Vilolet Nanjala who w...",court,53.02%,model
6061f67aa737-15,that the deceased had taken parental responsibilities as he later circumcised the male childrenand lkater collected dowry following the marriage of one of the female children who had came along with t...,court,52.81%,model
6061f67aa737-16,The 1st petitioner and his witnesses have strongly taken the view that the three children who came along with the 2nd petitioner during her marriage to the deceased are children of one Pinika Kitui Na...,court,54.60%,model
6061f67aa737-17,It transpired that the 2nd petitioner’s former husband Pinika Kitui Namachanja owned parcel number East Bukusu/West Sangalo/487 and that the 1st petitioner now insists that the three children that acc...,court,54.82%,model
6061f67aa737-18,"As the protestor has isolated the three children who acme alongside the 2nd petitioner during her marriage with the deceased, it was thus necessary for the said beneficiaries to prove the fact of depe...",court,54.29%,model
6061f67aa737-19,"As regards Patrick Wanyonyi Wekesa, it is noted that he was not staying with the deceased all his youthful life until 2012 when the deceased is reported to have introduced him to the family and held a...",court,54.82%,model
6061f67aa737-20,not reasonable in the circumstances and is for rejection as there is element of discrimination. The proposed mode of distribution by the 2nd and 3rd petitioners appear to be reasonable save only that ...,court,52.98%,model
37c55123ebc6-0,"REPUBLIC OF KENYA
IN THE EMPLOYMENT AND LABOUR RELATIONS COURT OF KENYA AT NAIROBI
PETITION NO. E25 OF 2023
(Formerly ELRC Petition No. E009 OF 2021 at Nyeri)
MESHACK KHISA■PETITIONER
- VERSUS -
KENYA...",court,56.30%,model
37c55123ebc6-1,"And finally, further to the above, a question as to the jurisdiction of the court must be heard and determined in priority to any other proceedings. 
The consequent upon the above, the respondent will...",court,56.97%,model
37c55123ebc6-2,That the decision in Communication Commission of Kenya & 5 others versus Royal Media Services Ltd Supreme Court of Kenya at Nairobi Petition no. 14 of 2014 together with the cited case of Francis Gath...,court,56.73%,model
37c55123ebc6-3,That under Article 159 of the Constitution of Kenya the Court is bound by mandatory terms to exercise its judicial authority without undue regard to procedural technicality such as the one raised in t...,court,57.48%,model
a72dba7cf5b2-0,"REPUBLIC OF KENYA
IN THE HIGH COURT OF KENYA AT ELDORET
MISCELLANEOUS CIVIL APPEAL NO. 5 OF 2023
IN THE MATTER OF THE ESTATE OF JOSEPH MALAKWEN SAMOEI
AND
IN THE MATTER OF SECTION 26,27 AND 28 OF THE ...",court,55.59%,model
a72dba7cf5b2-1,"THAT costs of the application be in the cause. 
The Application is premised on the grounds set out therein and the contents of the supporting affidavit sworn by the Applicant.
The Applicant contends t...",court,53.83%,model
a72dba7cf5b2-2,"In response to the application, the 1st respondent averred that the court orders obtained by the applicant from this honourable court on 19.10.2023 were obtained through material non-disclosure and mi...",court,55.85%,model
a72dba7cf5b2-3,"The court is empowered to grant orders sought by the application in relation to custody, management and guardianship under Section 26 of the Mental Health Act Cap 248 which provides:
“(1) The court ma...",court,56.37%,model
a72dba7cf5b2-4,"b) There exists medical proof by show of evidence confirming that the subject suffers from mental disorder.
c) The petitioner/Applicant seeking to be appointed as manager or guardian must be legally f...",court,55.26%,model
a72dba7cf5b2-5,"Having said so, it is clear that the Applicant has not received the full consent of the rest of the patient’s family. For the court to intervene in the management and control of the patient’s properti...",court,55.20%,model
78e1fba5d264-0,"IN THE HIGH COURT AT NAIROBI
MILIMANI LAW COURT
CIVIL DIVISION (APPELLATE SIDE)
CIVIL APPEAL NO. 154 OF 2019
BETWEEN
KWACHA GROUP OF COMPANIES .…………..…..…………….……………... APPELLANT
AND
VENDING SERVICES …...",court,56.06%,model
78e1fba5d264-1,No suit ought to be summarily dismissed unless it appears so hopeless that it plainly and obviously discloses no reasonable cause of action and is so weak as to be beyond redemption and incurable by a...,court,56.47%,model
78e1fba5d264-2,The fundamental rule governing decisions of any trial is that the ultimate decisions must set out reasons for the conclusion. The trial magistrate failed to explain why she came to the conclusion that...,court,54.94%,model
a8dfcc6779a0-0,"REPUBLIC OF KENYA
IN THE HIGH COURT OF KENYA AT KENYA
CRIMINAL CASE NO. 14 OF 2018
REPUBLIC………....………………………………………PROSECUTION
VERSUS
GIDEON CHERUIYOT LANGAT.....................................ACCUSED
...",court,55.06%,model
a8dfcc6779a0-1,"Elizabeth Chebii Too (Pw.2)  recalls that on 5th  July, 2018 at around 10 pm she heard screams from the accused person's home, she went to see what was happening, when she arrived, she found that seve...",court,54.22%,model
a8dfcc6779a0-2,On cross examination Pw. 3 stated that on the material night they pursued the accused for a short distance before he disappeared and that the accused had a panga which was not in court. He confirmed t...,court,54.01%,model
a8dfcc6779a0-3,"CPL Wycliff Otieno (Pw.6) recalls that on 5th July, 2018 at around 11:30 pm he was at his home sleeping when he received a call from DCIO Belgut informing him about a murder that has occurred at Belgu...",court,53.63%,model
a8dfcc6779a0-4,"On cross examination, Pw.6 confirmed that CIP Kariuki recovered the panga upon disarming the accused person at the Secondary School. He stated that he took photographs at the crime scene yet he was no...",court,53.51%,model
a8dfcc6779a0-5,"Richard Langat (Pw. 8) a government chemist in Kisumu stated that on 11th July, 2018 he received an exhibit memo form from PC Wycliff Otieno of Sondu Police Station with the following items a blood st...",court,52.42%,model
a8dfcc6779a0-6,"Gideon Cheruiyot Langat (Dw.1) in his defence stated that he could not recall the events of the material day, citing mental illness, he stated that he was under medication, however at the time, was no...",court,54.11%,model
a8dfcc6779a0-7,"The Learned Counsel relied on the case of Richard Chemagong v Republic, Criminal Appeal No. 150 of 1983 where the Court of Appeal made reference to the McNaughten rules and sought to distinguish a mal...",court,57.76%,model
a8dfcc6779a0-8,The accused in this case was charged with the offence of murder contrary to section 203 of the penal code which defines murder as the unlawful killing of a person or persons with malice aforethought. ...,court,54.82%,model
a8dfcc6779a0-9,"Whether the Accused Person had Malice Aforethought.
 For the charge of murder to succeed, it must be proved that they acted with malice aforethought. Section 206 of the Penal Code provides circumstanc...",court,55.29%,model
a8dfcc6779a0-10,"Accordingly, I find that the defence put forward by the accused person namely:  Gideon Cheruiyot Langat does not displace the prosecution’s case. The prosecution has therefore proved its case against ...",court,55.72%,model
6031f495e30a-0,"IN THE HIGH COURT AT NAIROBI
MILIMANI LAW COURT
CIVIL DIVISION (APPELLATE SIDE)
CIVIL APPEAL NO. E091 OF 2021
BETWEEN
NKOROI BUNDI KELVIN .…………..…..…………….……………….…………….. APPELLANT
AND
WILSON RUNYAMBO …...",court,56.52%,model
6031f495e30a-1,"According to the Plaint dated 17.03.2018, the Respondent pleaded that he sustained a mid-shaft fracture of the left tibia and fibula and suffered a swollen tender and painful leg. In his testimony the...",court,52.74%,model
6031f495e30a-2,"The Appellant urged the court to award Kshs. 300,000.00. It cited Civicon Limited v Richard Njomo Omwancha and 2 others [2019]eKLR. The court reduced an award of Kshs. 1,000,000.00 to Kshs. 450,000.00...",court,55.56%,model
6031f495e30a-3,This appeal concerns the award of general damages. General damages are damages at large and the court does the best it can in reaching an award that reflects the nature and gravity of the injuries. In...,court,54.79%,model
6031f495e30a-4,"Mr Karimi instructed by Wainaina & Karimi Advocates for the Appellants.
Mr Wachira instructed by Waiganjo Wachira and Company Advocates for the Respondent.",court,54.93%,model
8ccdf6146812-0,"REPUBLIC OF KENYA
IN THE EMPLOYMENT & LABOUR RELATIONS COURT
AT MOMBASA
APPEAL NO. E048 OF 2021
EUCABETH KERUBO NYANDIKA……………………………………..APPELLANT
VERSUS
INTER SECURITY SERVICES……………………………………….RESPONDE...",court,53.36%,model
