text,category,confidence,source
"Motor Vehicle Registration No. KSD 139.
Shares at Kakuzi, Kapchorua Tea Kenya PLC, Sasin PLC, Williamson Tea Kenya PLC, NCBA Group PLC, Stanbic Holdings PLC, Cables Ltd, Kengen PLC, Kenya BOC Kenya Ltd BAT Ltd, Carbacid, C02 Ltd, EABL, Mumias Sugar Company Ltd, Unga Ltd, Safaricom Ltd.
This cause is non contentious as all the parties are in agreement with the distribution of the estate and have provided proposed modes of distribution. The 1st and 2nd Administrators filed their affidavit on the proposed mode of distribution on 11th September 2023 whereas the 3rd administrator filed hers on 14th November 2023.
Article 27 of the Constitution of Kenya provides as follows;
27. Equality and freedom from discrimination
(1) Every person is equal before the law and has the right to equal protection and equal benefit of the law.
Section 38 of the Law of Succession Act provides as follows;
Where an intestate has left a surviving child or children but no spouse, the net intestate estate shall, subject to the provisions of sections 41 and 42, devolve upon the surviving child, if there be only one, or shall be equally divided among the surviving children.
Guided by the legal principles espoused in the statutes above and upon considering the affidavits on record and the proposed modes of distribution I hereby order that the estate of the deceased shall be distributed as follows;
Whereas the parties have agreed on the distribution, something must be said about the contentions Kshs. 30,000,000/- that was withdrawn for the purpose of defraying the expenses of the estate under mysterious circumstances. Section 55 of the Law of Succession Act states as follows;
(1) No grant of representation, whether or not limited in its terms, shall confer power to distribute any capital assets constituting a net estate, or to make any division of property, unless and until the grant has been confirmed as provided by section 71.
(2) The restriction on distribution under subsection (1) does not apply to the distribution or application before the grant of representation is confirmed of any income arising from the estate and received after the date of death whether the income arises in respect of a period wholly or partly before or after the date of death.",court,54.37%,model
"Further, as the withdrawal was instigated by one of the administrators, it is imperative that this court emphasize the  duties of administrators as was set out in section 83 of the Law of Succession Act as follows;
83. Personal representatives shall have the following duties-
(a) to provide and pay, out of the estate of the deceased, the expenses of a reasonable funeral for him; 
(b) to get in all free property of the deceased, including debts owing to him and moneys payable to his personal representatives by reason of his death;
(c) to pay, out of the estate of the deceased, all expenses of obtaining their grant of representation, and all other reasonable expenses of administration (including estate duty, if any);
(d) to ascertain and pay, out of the estate of the deceased, all his debts;
(e) within six months from the date of the grant, to produce to the court a full and accurate inventory of the assets and liabilities of the deceased and a full and accurate account of all dealings therewith up to the date of the account;
(f) subject to section 55, to distribute or to retain on trust (as the case may require) all assets remaining after payment of expenses and debts as provided by the preceding paragraphs of this section and the income therefrom, according to the respective beneficial interests therein under the will or on intestacy, as the case may be;
(g) within six months from the date of confirmation of the grant, or such longer period as the court may allow, to complete the administration of the estate in respect of all matters other than continuing trusts, and to produce to the court a full and accurate account of the completed administration.
(h) to produce to the court, if required by the court, either of its own motion or on the application of any interested party in the estate, a full and accurate inventory of the assets and liabilities of the deceased and a full and accurate account of all dealings therewith up to the date of the account;
(i) to complete the administration of the estate in respect of all matters other than continuing trusts and if required by the court, either of its own motion or on the application of any interested party in the estate, to produce to the court a full and accurate account of the completed administration.",court,53.57%,model
"In this cause there are three administrators and therefore, any decisions made with regards to the estate must have the input of all three administrators. It is apparent that the withdrawal of funds for the alleged purpose of defraying the expenses of the estate was at the instruction of one administrator and therefore there was no concurrence among the administrators. It is my considered view that this was in contravention of section 55 of the Law of Succession Act. However, I take note that the parties have since reached a resolution on how to settle this particular issue by distributing the balance of the sums equally amongst themselves upon recovery of the same and therefore there is no further dispute or contention as to the distribution of the estate.
The estate shall be distributed as stated above and the administrators are to render accounts within six months in order for the cause to be marked as closed.
It is so ordered.
DELIVERED, DATED AND SIGNED AT ELDORET ON THIS 20TH DAY OF NOVEMBER 2023
In the presence of 
Mr. Tanui Advocates
Mr.  Gatama Advocates
Mr. Njoroge Advocates
All the beneficiaries 
………………………………………..
R. NYAKUNDI
JUDGE
info@gatamalaw.com, tererlaw@gmail.com, infojerutoadvocates@gmail.com",court,53.12%,model
"REPUBLIC OF KENYA
IN THE HIGH COURT OF KENYA AT BUNGOMA
MISC APPLICATION NO.     E109    OF 2018
MARTIN KHAEMBA WEKANYWA-------------------------------APPLICANT
VERSUS
WAMALWA SIMIYU & CO ADVOCATES-------------------RESPONDENT
RULING
The application before me is a notice of motion brought under certificate of urgency dated 7th February, 2023 and amended on 21st March,2023, pursuant to Article 40 of the constitution, section 3A of the Civil Procedure Act, Order 40 Rules 1, 2, 3, 4 and 10, Order 45 of the Civil Procedure Rules  seeking the following orders;
Spent
Spent 
That pending the hearing of and determination of the application the court be pleased to order the summoning of the court process server one David Imo for purposes of being cross-examined by the applicant’s counsel.
That pending the hearing of the suit inter-partes, the Court be pleased to issue an order compelling the 1st respondent from harassing the Applicant.
The costs of the application be borne by the Respondent.
The same is supported by an affidavit sworn by the Applicant who averred inter alia; that the Respondent through a firm of Auctioneers have been harassing him intending to execute a decree dated 26th October,2022 which emanated from an application dated 10th May,2019 whose service is highly disputed; that he stands to suffer irreparable damage if the court does not intervene; that he seeks to be granted  a chance to defend himself as he was not given an opportunity due to falsehoods of the process server.
The Respondent in opposition averred that the Applicant was duly served with the court documents as he was represented by his advocate on record; that the Auctioneer is immune to the proceedings by virtue of section 6 of the Judicature Act as it was executing lawful warrants which have not been challenged, recalled or set aside; that there is no illegality attributed to the Auctioneer and thus the application is an abuse of the court process  and which should be dismissed.",court,56.55%,model
"In their submissions dated 25th August,2023 the Respondent submitted that the orders as sought by the Applicants were against the court which is mandated to execute its decrees. Reliance was placed in the case of Michael Bartenge vs. Stephen Bartenge (2007) Eklr. Counsel submitted that the Applicant ought to have sought for stay orders and setting aside of the impugned decree since the calling of a process server for the purposes of cross examination would not have any effect and would be engaging the court in an academic exercise unless the decree is stayed/lifted.
I have considered the application and submissions. The history of the matter is that the Respondent filed an advocate-client bill of costs dated 24th June,2018 which was taxed off at Kshs.145,234/= and a certificate of costs issued on 22nd March,2019. The Respondent thereafter filed an application dated 10th May,2019 seeking to have the certificate of costs converted to a decree for purposes of execution. The application was allowed in the absence of the Applicant herein on 26th October,2022 after the court satisfied itself of service of the application upon the Applicant herein. As a result, the Respondent herein proceeded to execute the decree.  I find that the issue for determination is whether the applicant is entitled to the reliefs sought. 
The Applicant in his application sought for orders that the application be certified as urgent and for orders restraining the Respondent from auctioning his property which orders were granted in the interim. Further, the Applicant sought for an order summoning the Court process server for purposes of cross-examination pending hearing and determination of the application which order was not granted in the interim. The last two prayers were orders restraining the respondent from harassing the Applicant and a prayer for costs.
It is clear from the foregoing prayers that the Applicant is not seeking any orders beyond the inter parties hearing stage. Put differently, the applicant is not seeking any order to preserve any property or threatened legal or equitable right pending the hearing and determination of the instant application. I am aware that disputes will always arise during the execution stage in any litigation, but in the instant application none has been disclosed.
In Re Estate of Bakari Marakweli Mwakwisha (deceased) (2008) eKLR it was held:",court,56.89%,model
"“I am afraid the applicant did not seek any orders which may be granted.  His only substantive prayer was for the grant of an interlocutory injunction pending the hearing and determination of this application.  That order was granted at the time when the application was certified urgent.  It was to be in force pending the hearing and determination of the application.  Once the application is heard and determined, that order will have served its purpose, and there will be nothing more to be done.  Strictly speaking, indeed, there is no prayer to be heard.  The applicant ought to have included a prayer for an injunction pending the hearing and determination of the petition for the grant of letters of administration intestate.  But such injunction was not applied for, and the court cannot grant an order which is not prayed for.”
Even looking at the “orders” as sought without a substantive prayer, the application is misconceived and incompetent as any relief sought can only be granted if there is pending a substantive prayer, and that there is not one such in this application. Even so the prayer for orders restraining the Respondents from harassing the Applicant has not been substantiated. Clearly, the application is devoid of the requisite prayers which could act as an anchor. As it is, the orders sought are only ideal at the ex-parte stage but not the next stage as the same will have become spent. If that is the position, then there is nothing substantive for this court’s deliberation. As framed by the applicant, the orders are to subsist until the determination of the application interpartes. The applicant must be informed that we are now at the interpartes hearing stage and that the orders sought are deemed to have served the purpose and as such there is nothing that the court can deliberate upon. Again, it is noted that the application stems from an execution of decree process. As the applicant has not sought for an order of stay of execution of the decree, it is untenable to stop the executioner from carrying out its lawful duties. I find the prayers are not capable of being granted and that if the same is granted, the next question facing the applicant will be ‘’what next?’’
In view of the foregoing observations, I come to the finding that the application is devoid of merit. The same is dismissed with costs to the Respondent.
It is so ordered.
Dated and delivered at Bungoma this 17th day",court,57.02%,model
"It is so ordered.
Dated and delivered at Bungoma this 17th day
 Of  November  2023
D.Kemei
Judge
In the presence of
No appearance Motanya  Applicant
Onyando for Wamalwa  Simiyu for Respondent
Kizito  Court Assistant",court,53.78%,model
"REPUBLIC OF KENYA
IN THE EMPLOYMENT AND LABOUR RELATIONS COURT OF KENYA AT NAIROBI
CAUSE NO. 1596 OF 2018
ERICK OMERI EMIRA ■CLAIMANT 
- VERSUS -
SECUREX AGENCIES (K) LTD ■………….RESPONDENT
(Before Hon. Justice Byram Ongaya on Friday 17th November, 2023)
JUDGMENT
The claimant filed the Memorandum of claim on 10.12.2018 through S.J Nyang & Co Advocates. The claimant prayed for judgment against the respondent for:
An order compelling the respondent to pay the claimant his terminal dues and salary in lieu of notice all totalling to Kshs.340,087.00.
General damages for mental torture, stress anguish as a result of loss of employment. 
Reinstatement to employment together with withheld salary to date.
Costs of the claim and interest on (a) and (b) above at commercial rates. 
Or in the alternative payment of withheld salaries together with orders (a,b&c). 
The reply to claim was filed on 04.04.2019 through Simiyu Wekesa Advocates. The respondent prayed that the claimant’s suit against it be dismissed with costs. 
The claimant’s case was that he was an employee of the respondent from 02.02.2013 until 18.12.2015 when without reasonable justification, the respondent casually terminated his services without notice. 
That on 11.06.2015, the Kenya Power & Lighting Company through their employees or representatives made a malicious complaint to the Muthaiga Police Station to the effect that the claimant together with others had stolen a 22KVA transformer serial no. 1256438 at the Ruaraka Kenya power complex contrary to section 268 as read with section 275 of the Penal Code and later arraigned in court on the 18.06.2015 in criminal case no. 1925 of 2015 at Makadara law courts, Nairobi.
The claimant was tried before the Principal Magistrate’s Court at Makadara Law Courts where after lengthy trial the claimant was acquitted under section 210 of the criminal procedure code.",court,54.08%,model
"It is the claimant’s case that the respondent did not procedurally terminate his employment. Instead, it relied and focused on the allegations of theft, which allegations caused the claimant to be put in custody for some days, during which, he was alleged to have deserted duty and his services summarily terminated without giving him a fair hearing.  
The claimant stated that on 17.06.2015 he received a report from the main office of the respondent instructing him to inform his night shift colleagues not to leave the assignment the next day, 18.06.2015. 
That KPLC sent police officers to arrest the claimant and two of his colleagues Daniel Ouma and Peter Natembea. The police did not arrest the rest of the claimant’s colleagues who were twenty-seven in number. The claimant and his colleagues were held at Industrial Area Prisons, and the claimant was bailed out on 26.06.2015 by his uncle. 
The claimant pleaded that on 29.06.2015 he went to the respondent’s base office seeking to resume work, but, he was given a notice to report back to the base office on 02.07.2015 for a hearing. 
That on 02.07.2015 the claimant went to the respondent’s base office as instructed and met his colleague Peter Natembea who had equally been notified to attend a hearing on same day. That after 3 hours of waiting, they were informed that their area manager one Mr. Nderutu was not available and that they should leave and return on 07.07.2015. 
On 07.07.2015 the claimant arrived at the respondent’s offices at 0820 Hrs. He met discovered that his colleague Peter Natembea had already arrived. They were the informed that Mr. Nderutu, the human resource manager, operations and shop stewards were in a meeting, and that they should wait. 
When the meeting ended, Mr. Nderutu informed the claimant that he had to attend to an emergency in the field. Some of the shop stewards approached the claimant and Peter Natembea, and tried to convince them to write resignation letters so that they get paid quickly like their colleague Daniel Ouma.",court,51.06%,model
"The claimant and his colleague declined to write the resignation letters, and were informed to return to the respondent’s offices on 08.07.2015. 
On 08.07.2015 the claimant returned to the respondent’s offices. Mr. Nderutu was not available and thus the meeting could not take place. The respondent’s secretary asked the claimant to leave his contacts behind, which he states, he wrote down on a piece of paper. 
The claimant states that he fundraised amongst his friends and used the monies to relocate, together with his family, back to his home in Busia County. 
That on 11.01.2016 he returned to Nairobi purposely to collect his school certificates which were in the custody of the respondent. That he was requested to return the respondent’s property before being given his certificates, which he states he did on 12.01.2016. On the same date his certificates were handed over to him together with a certificate of service and a cheque for the days he had worked in the month of June 2015. 
On the part of the respondent, it admitted that the claimant was its employee, employed as a security guard effective 01.05.2011 to 30.06.2015 earning a basic salary of Kshs.12,221/= and a house allowance of Kshs.1,833.17/=. 
That on 09.06.2015 the claimant was assigned duties at Kenya Power and Lighting Company (KPLC) Ruaraka grounds. While on duty at the site, the claimant failed  to raise alarm or report vandalism of a transformer that occurred at KPLC Ruaraka grounds which was discovered the following day on 10.06.2015. 
The claimant was summoned by the respondent on the events that led to the transformer being vandalized and he prepared a written statement on his observations in relation to the security breach at KPLC Ruaraka grounds. 
The respondent stated that the claimant’s actions of failing to raise alarm of the theft resulted in him being issued with a notice to show cause on 29.06.2015. He was required to attend a disciplinary hearing on 02.07.2015.",court,51.97%,model
"The claimant did not show up for the disciplinary hearing on 02.07.2015 and no reason was given for the absence. The claimant having failed to appear for disciplinary proceedings and having been absent from duty without authority, the respondent summarily dismissed him. 
The respondent stated that the claimant showed up at the respondent’s premises on 13.01.2016 to collect his terminal dues. However, he did not offer an explanation on his whereabouts for the six months that he was absent from employment. 
The respondent paid his final dues and issued him a certificate of service. 
The Claimant filed his submissions. Despite service the respondent failed to attend at the hearing and failed to file final submissions. The court has considered the parties’ respective cases and makes finding as follows.
To answer the 1st issue, there is no dispute that the parties were in a contract of service.
The 2nd issue is whether the contract of service was terminated. The respondent states that a notice to show cause was issued on 29.06.2015 for a disciplinary hearing on 02.07.2015. Further, that the claimant failed to show at the disciplinary hearing and resurfaced on 13.01.2016 to collect his terminal dues. The claimant’s account is that he received the notice to report back on 02.07.2015 but the hearing was adjourned to 07.07.2015. the claimant stated that on 07.07.2015 the Human Resource Manager for the second time was very busy to meet him and the shop steward who had been in a meeting with the Manager asked him to resign like his co-accused Daniel Ouma had done so as to be paid the worked days. He declined and was asked to go back on 08.07.2015 when the meeting could not take place but the secretary for the Manager asked her to record his address and to go home to be called later. He testified he never received the call until 15.07.2015 when it became unsustainable as he could no longer pay the rent and he did the fundraiser and travelled to his rural home in Busia. He came back to Nairobi on 11.01.2016, handed over and received the final cheque for days worked.",court,52.23%,model
"The Court finds that the claimant’s account upon his own testimony is not challenged at all. It was for the respondent to show that on 02.07.2015 the claimant had failed to attend the disciplinary hearing as envisaged in section 43 of the Employment Act. If indeed the claimant had failed to do so, it is not clear why the same could not be revived in January 2016 when the claimant showed up. Instead it appears the respondent decided to give a final pay cheque without reference to the disciplinary process. The Court finds that the respondent frustrated the disciplinary hearing. The Court finds that the procedure adopted was not fair as per section 41 of the Act. The disciplinary procedure having aborted at the instance of the respondent, it cannot be said that there was established reason for the termination as envisaged in section 43 of the Act. It was unfair in substance and procedure. The submissions made for the claimant are upheld. The claimant exhibits a letter dated 9.08.2018 addressed to his advocate by the respondent stating that the claimant was declared a deserter 18.12.2015 after receiving the letter to show cause dated 29.06.2015 and failing to attend a disciplinary hearing on 02.07.2015. Once again, the respondent fails to explain why the letter on desertion was not issued promptly on 02.07.2015, once again rendering the respondent’s account not probable on a balance of probability.
The 3rd issue is on remedies. The Court finds as follows:
The claimant was dismissed when the disciplinary process aborted at the respondent’s instance and it was without notice as he is awarded Kshs.22,000.00 in lieu of notice.
The court has considered the factors in section 12 of the Act. The aggravating factors are that the respondent failed to conclude the disciplinary process and subjected the claimant to unjustified adjournments. The Court has considered the period served and also considered the claimant otherwise had a clean record of service. He is awarded 8 months’ salaries in compensation making Kshs.176,000.00. 
There appears no material on record shows the claimant was a member of NSSF and the claim for service pay is declined.",court,53.72%,model
